SN MIB Stat[EGM0002091762]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091763]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091765]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091767]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091768]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091769]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091770]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091772]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091773]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091774]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091775]: F[S=2979,R=2918],T[Min=367,Max=13014,Ave=1846].
SN MIB Stat[EGM0002091776]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091777]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091779]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091780]: F[S=2866,R=2855],T[Min=301,Max=24263,Ave=1605].
SN MIB Stat[EGM0002091781]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091782]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091783]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091784]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091785]: F[S=4,R=4],T[Min=457,Max=621,Ave=540].
SN MIB Stat[EGM0002091787]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091789]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091790]: F[S=13,R=8],T[Min=480,Max=6752,Ave=2375].
SN MIB Stat[EGM0002091791]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091792]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091793]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091794]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091796]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091798]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091799]: F[S=4,R=4],T[Min=552,Max=610,Ave=575].
SN MIB Stat[EGM0002091800]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091801]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091802]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091804]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091806]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091807]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091808]: F[S=4,R=4],T[Min=442,Max=609,Ave=523].
SN MIB Stat[EGM0002091809]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091810]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091811]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091812]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091813]: F[S=2943,R=2927],T[Min=469,Max=21261,Ave=2117].
SN MIB Stat[EGM0002091814]: F[S=0,R=0],T[Min=0,Max=0,Ave=0].
SN MIB Stat[EGM0002091815]: F[S=1698,R=1689],T[Min=401,Max=16543,Ave=1622].
